"NomBan","Pais","Origen","NumEscuchasMes","Imagen","Estatus","Descrip","LinkWeb","LinkSpotify"
"Mercyful Fate",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Meshuggah",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Metallica",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Ministry",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Moonsorrow",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Moonspell",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Morbid Angel",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Motionless in White",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Mötley Crüe",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Motörhead",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Mudvayne",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Mushroomhead",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"My Dying Bride",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Napalm Death",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Neurosis",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Nevermore",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Nightwish",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Nile",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Nuclear Assault",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Obituary",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Opeth",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Overkill",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Ozzy Osbourne",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"P.O.D.",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Pain",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
