"NomBan","NomGen","Estrellas"
"HELLYEAH","Groove",NULL
"HELLYEAH","Heavy",NULL
"Helmet","Alternative",NULL
"Helmet","Post-Hardcore",NULL
"Helmet","Post-Metal",NULL
"High on Fire","Sludge",NULL
"High on Fire","Stoner",NULL
"HIM","Gothic",NULL
"HIM","Love",NULL
"HIM","Rock",NULL
"Iced Earth","Heavy",NULL
"Iced Earth","Power",NULL
"Iced Earth","Thrash.",NULL
"Immortal","Black.",NULL
"Immortal","Extreme",NULL
"In Extremo","Folk",NULL
"In Extremo","NDH",NULL
"In Flames","Death-Melodic",NULL
"In Flames","Extreme",NULL
"In This Moment","Alternative",NULL
"In This Moment","Gothic",NULL
"In This Moment","Heavy",NULL
"In This Moment","Metalcore",NULL
"Insomnium","Death-Melodic",NULL
"Iron Maiden","Heavy",NULL
"Iron Maiden","NWOBHM",NULL
"ISIS","Post-Metal",NULL
"ISIS","Sludge",NULL
"Jinjer","Death-Melodic",NULL
"Jinjer","Groove",NULL
"Jinjer","Metalcore",NULL
"Jinjer","Progressive",NULL
"Judas Priest","Heavy",NULL
"Kamelot","Power",NULL
"Kamelot","Symphonic",NULL
"Katatonia","Black.",NULL
"Katatonia","Death.",NULL
"Katatonia","Doom",NULL
"Katatonia","Gothic",NULL
"Killswitch Engage","Metalcore",NULL
"King Diamond","Black.",NULL
"King Diamond","Extreme",NULL
"King Diamond","Heavy",NULL
"KISS","_Glam",NULL
"KISS","Hard",NULL
"KISS","Heavy",NULL
"KoRn","Alternative",NULL
"KoRn","Funk",NULL
"KoRn","Groove",NULL
"KoRn","Nu",NULL
"KoRn","Rap",NULL
"Korpiklaani","Folk",NULL
"Kreator","Black.",NULL
"Kreator","Extreme",NULL
"Kreator","Thrash.",NULL
"Kvelertak","Black.",NULL
"Kvelertak","Hard",NULL
"Kvelertak","Hardcore",NULL
"Kvelertak","Punk",NULL
"Lacuna Coil","Gothic",NULL
"Lamb of God","Death.",NULL
"Lamb of God","Groove",NULL
"Lamb of God","Metalcore",NULL
"Lamb of God","Thrash.",NULL
"Leave's Eyes","Gothic",NULL
"Leave's Eyes","Symphonic",NULL
"Led Zeppelin","Blues",NULL
"Led Zeppelin","Hard",NULL
"Led Zeppelin","Heavy",NULL
"Life of Agony","Alternative",NULL
"Life of Agony","Groove",NULL
"Limp Bizkit","Nu",NULL
"Limp Bizkit","Rapcore",NULL
"Linkin Park","Alternative",NULL
"Linkin Park","Nu",NULL
"Linkin Park","Rap",NULL
"Linkin Park","Rock",NULL
"Machine Head","Groove",NULL
"Machine Head","Thrash.",NULL
"Mägo de Oz","Celtic",NULL
"Mägo de Oz","Folk",NULL
"Mägo de Oz","Hard",NULL
"Mägo de Oz","Heavy",NULL
"Månegarm","Black.",NULL
"Månegarm","Folk",NULL
"Månegarm","Viking",NULL
"Manowar","Epic",NULL
"Manowar","FW-Power",NULL
"Manowar","Hard",NULL
"Manowar","Heavy",NULL
"Manowar","Power",NULL
"Marduk","Black.",NULL
"Marduk","Extreme",NULL
"Marilyn Manson","Alternative",NULL
"Marilyn Manson","Industrial",NULL
"Mastodon","Progressive",NULL
"Mastodon","Sludge",NULL
"Mayhem","Black.",NULL
"Mayhem","Extreme",NULL
"Mayhem","SW-Black",NULL
"Megadeth","Speed",NULL
"Megadeth","Thrash.",NULL
"Mercyful Fate","Black.",NULL
"Mercyful Fate","Extreme",NULL
"Mercyful Fate","FW-Black",NULL
"Mercyful Fate","Heavy",NULL
"Meshuggah","Avant-Garde",NULL
"Meshuggah","Djent",NULL
"Meshuggah","Extreme",NULL
"Meshuggah","Progressive",NULL
"Metallica","Speed",NULL
"Metallica","Thrash.",NULL
"Ministry","Industrial",NULL
"Moonsorrow","Folk",NULL
"Moonsorrow","Pagan",NULL
"Moonsorrow","Viking",NULL
"Moonspell","Black.",NULL
"Moonspell","Extreme",NULL
"Moonspell","Folk",NULL
"Moonspell","Gothic",NULL
"Morbid Angel","Death.",NULL
"Morbid Angel","Extreme",NULL
"Motionless in White","Gothic",NULL
"Motionless in White","Metalcore",NULL
"Mötley Crüe","FW-Glam",NULL
"Mötley Crüe","Glam",NULL
"Mötley Crüe","Heavy",NULL
"Motörhead","Hard",NULL
"Motörhead","Heavy",NULL
"Motörhead","Speed",NULL
"Mudvayne","Alternative",NULL
"Mudvayne","Heavy",NULL
"Mudvayne","Nu",NULL
"Mushroomhead","Alternative",NULL
"Mushroomhead","Industrial",NULL
"My Dying Bride","Death.",NULL
"My Dying Bride","Doom",NULL
"My Dying Bride","Gothic",NULL
"Napalm Death","Extreme",NULL
"Napalm Death","Grindcore",NULL
"Neurosis","Experimental",NULL
"Neurosis","Extreme",NULL
"Neurosis","Industrial",NULL
"Neurosis","Post-Hardcore",NULL
"Neurosis","Post-Metal",NULL
"Neurosis","Sludge",NULL
"Nevermore","Heavy",NULL
"Nevermore","Progressive",NULL
"Nevermore","Thrash.",NULL
"Nightwish","Power",NULL
"Nightwish","Symphonic",NULL
"Nile","Death-Brutal",NULL
"Nile","Death-Tech",NULL
"Nile","Death.",NULL
"Nile","Extreme",NULL
"Nuclear Assault","Thrash-Crossover",NULL
"Nuclear Assault","Thrash.",NULL
"Obituary","Death.",NULL
"Obituary","Extreme",NULL
"Opeth","Black.",NULL
"Opeth","Death.",NULL
"Opeth","Extreme",NULL
"Opeth","Progressive",NULL
"Overkill","Speed",NULL
"Overkill","Thrash.",NULL
"Ozzy Osbourne","Hard",NULL
"Ozzy Osbourne","Heavy",NULL
"P.O.D.","Nu",NULL
"P.O.D.","Rapcore",NULL
"Pain","Industrial",NULL
"Pantera","Groove",NULL
"Pantera","Heavy",NULL
"Pantera","Speed",NULL
"Pantera","Thrash.",NULL
"Papa Roach","Alternative",NULL
"Papa Roach","Nu",NULL
"Papa Roach","Rap",NULL
"Paradise Lost","Death.",NULL
"Paradise Lost","Doom",NULL
"Paradise Lost","Gothic",NULL
"Parkway Drive","Metalcore",NULL
"Pentagram","Doom",NULL
"Pentagram","Heavy",NULL
"Periphery","Djent",NULL
"Periphery","Metalcore",NULL
"Periphery","Progressive",NULL
"Pig Destroyer","Grindcore",NULL
"Poison","Glam",NULL
"Poison","Hard",NULL
"Poison","SW-Glam",NULL
"Possessed","Death.",NULL
"Possessed","Extreme",NULL
"Possessed","Thrash.",NULL
"Powerwolf","Heavy",NULL
"Powerwolf","Power",NULL
"Primal Fear","Heavy",NULL
"Primal Fear","Power",NULL
"Primal Fear","SW-Power",NULL
"Primordial","Black.",NULL
"Primordial","Folk",NULL
"Prong","Groove",NULL
"Prong","Thrash-Crossover",NULL
"Prong","Thrash.",NULL
"Queensrÿche","Heavy",NULL
"Queensrÿche","Progressive",NULL
"Quiet Riot","FW-Glam",NULL
"Quiet Riot","Glam",NULL
"Quiet Riot","Hard",NULL
"Quiet Riot","Heavy",NULL
"Rage","Heavy",NULL
"Rage","Power",NULL
"Rage","Speed",NULL
"Rage Against the Machine","Alternative",NULL
"Rage Against the Machine","Funk",NULL
"Rage Against the Machine","Hard",NULL
"Rage Against the Machine","Rap",NULL
"Rage Against the Machine","Thrash-Crossover",NULL
"Rainbow","Heavy",NULL
"Rammstein","Industrial",NULL
"Rammstein","NDH",NULL
"Ratt","FW-Glam",NULL
"Ratt","Glam",NULL
"Ratt","Heavy",NULL
"Raven","Heavy",NULL
"Raven","NWOBHM",NULL
"Rhapsody","Neoclassical",NULL
"Rhapsody","Power",NULL
"Rhapsody","SW-Power",NULL
"Rhapsody","Symphonic",NULL
"Rhapsody of Fire","Neoclassical",NULL
"Rhapsody of Fire","Power",NULL
"Rhapsody of Fire","SW-Power",NULL
"Rhapsody of Fire","Symphonic",NULL
"Riot","Hard",NULL
"Riot","Heavy",NULL
"Rob Zombie","Heavy",NULL
"Rob Zombie","Industrial",NULL
"Rob Zombie","Shock",NULL
"Rotting Christ","Black.",NULL
"Rotting Christ","Extreme",NULL
"Running Wild","Heavy",NULL
"Running Wild","Speed",NULL
"Rush","Blues",NULL
"Rush","Hard",NULL
"Rush","Heavy",NULL
"Sabaton","Heavy",NULL
"Sabaton","Power",NULL
"Saint Vitus","Doom",NULL
"Satyricon","Black.",NULL
"Satyricon","Extreme",NULL
"Savatage","FW-Power",NULL
"Savatage","Heavy",NULL
"Savatage","Power",NULL
"Savatage","Speed",NULL
"Saxon","Heavy",NULL
"Saxon","NWOBHM",NULL
"Scorpions","Hard",NULL
"Scorpions","Heavy",NULL
"Seether","Alternative",NULL
"Seether","Post-Grunge",NULL
"Septicflesh","Death.",NULL
"Septicflesh","Extreme",NULL
"Septicflesh","Gothic",NULL
"Septicflesh","Symphonic",NULL
"Sepultura","Black.",NULL
"Sepultura","Death.",NULL
"Sepultura","Extreme",NULL
"Sepultura","Thrash.",NULL
"Shadows Fall","Death-Melodic",NULL
"Shadows Fall","Metalcore",NULL
"Sirenia","Death.",NULL
"Sirenia","Doom",NULL
"Sirenia","Gothic",NULL
"Sirenia","Symphonic",NULL
"Skid Row","Glam",NULL
"Skid Row","Hard",NULL
"Skid Row","Heavy",NULL
"Skid Row","Sleaze",NULL
"Skillet","Alternative",NULL
"Skillet","Christian",NULL
"Skillet","Rock",NULL
"Skyclad","Folk",NULL
"Skyclad","Thrash.",NULL
"Slayer","Extreme",NULL
"Slayer","Speed",NULL
"Slayer","Thrash.",NULL
"Sleep","Doom",NULL
"Sleep","Stoner",NULL
"Slipknot","Alternative",NULL
"Slipknot","Nu",NULL
"Sodom","Black.",NULL
"Sodom","Extreme",NULL
"Sodom","Thrash.",NULL
"SOiL","Alternative",NULL
"SOiL","Hard",NULL
"SOiL","Nu",NULL
"SOiL","Post-Grunge",NULL
"Soilwork","Death-Melodic",NULL
"Sonata Arctica","Power",NULL
"Sonata Arctica","SW-Power",NULL
"Soulfly","Groove",NULL
"Soulfly","Nu",NULL
"Static-X","Industrial",NULL
"Static-X","Nu",NULL
"Steel Panther","Comedy",NULL
"Steel Panther","Glam",NULL
"Steel Panther","Hard",NULL
"Steel Panther","Heavy",NULL
"Steppenwolf","Blues",NULL
"Steppenwolf","Hard",NULL
"Steppenwolf","Proto-Metal",NULL
"Steppenwolf","Psychedelic",NULL
"Stone Sour","Alternative",NULL
"Stone Sour","Post-Grunge",NULL
"Strapping Young Lad","Death.",NULL
"Strapping Young Lad","Industrial",NULL
"Strapping Young Lad","Thrash.",NULL
"Stratovarius","Neoclassical",NULL
"Stratovarius","Power",NULL
"Stratovarius","SW-Power",NULL
"Stryper","Christian",NULL
"Stryper","Glam",NULL
"Stryper","Heavy",NULL
"Suffocation","Death-Brutal",NULL
"Suffocation","Death-Tech",NULL
"Suffocation","Death.",NULL
"Suffocation","Extreme",NULL
"Suicidal Tendencies","Hardcore Punk",NULL
"Suicidal Tendencies","Skate Punk",NULL
"Suicidal Tendencies","Thrash-Crossover",NULL
"Suicide Silence","Death-Core",NULL
"Suicide Silence","Metalcore",NULL
"Symphony X","Neoclassical",NULL
"Symphony X","Power",NULL
"Symphony X","Progressive",NULL
"Symphony X","SW-Power",NULL
"System of a Down","Alternative",NULL
"System of a Down","Nu",NULL
"Tarja","Pop",NULL
"Tarja","Rock",NULL
"Tarja","Symphonic",NULL
"Testament","Thrash.",NULL
"The Agonist","Death-Melodic",NULL
"The Agonist","Metalcore",NULL
"The Dillinger Escape Plan","Experimental",NULL
"The Dillinger Escape Plan","Extreme",NULL
"The Dillinger Escape Plan","Grindcore",NULL
"The Dillinger Escape Plan","Hardcore Punk",NULL
"The Dillinger Escape Plan","Mathcore",NULL
"The Dillinger Escape Plan","Metalcore",NULL
"Theatre of Tragedy","Death.",NULL
"Theatre of Tragedy","Doom",NULL
"Theatre of Tragedy","Gothic",NULL
"Therion","Symphonic",NULL
"Thin Lizzy","Hard",NULL
"Three Days Grace","Alternative",NULL
"Three Days Grace","Post-Grunge",NULL
"Thy Art is Murder","Death-Core",NULL
"Thy Art is Murder","Death-Tech",NULL
"Thy Art is Murder","Extreme",NULL
"Thy Art is Murder","Metalcore",NULL
"Tiamat","Death.",NULL
"Tiamat","Doom",NULL
"Tiamat","Gothic",NULL
"Tool","Alternative",NULL
"Tool","Progressive",NULL
"Tristania","Death.",NULL
"Tristania","Doom",NULL
"Tristania","Gothic",NULL
"Tristania","Symphonic",NULL
"Trivium","Metalcore",NULL
"Trivium","Thrash.",NULL
"Trouble","Christian",NULL
"Trouble","Doom",NULL
"Trouble","Heavy",NULL
"Turisas","Folk",NULL
"Turisas","Symphonic",NULL
"Turisas","Viking",NULL
"Twisted Sister","FW-Glam",NULL
"Twisted Sister","Glam",NULL
"Twisted Sister","Hard",NULL
