"NomBan","NomGen","Estrellas"
"Helloween","Speed","0"
"HELLYEAH","Alternative","0"
"HELLYEAH","Groove","0"
"HELLYEAH","Heavy","0"
"Helmet","Alternative","0"
"Helmet","Post-Hardcore","0"
"Helmet","Post-Metal","0"
"High on Fire","Sludge","0"
"High on Fire","Stoner","0"
"HIM","Gothic","0"
"HIM","Love","0"
"HIM","Rock","0"
"Iced Earth","Heavy","0"
"Iced Earth","Power","0"
"Iced Earth","Thrash.","0"
"Immortal","Black.","0"
"Immortal","Extreme","0"
"In Extremo","Folk","0"
"In Extremo","NDH","0"
"In Flames","Death-Melodic","0"
"In Flames","Extreme","0"
"In This Moment","Alternative","0"
"In This Moment","Gothic","0"
"In This Moment","Heavy","0"
"In This Moment","Metalcore","0"
"Insomnium","Death-Melodic","0"
"Iron Maiden","Heavy","0"
"Iron Maiden","NWOBHM","0"
"ISIS","Post-Metal","0"
"ISIS","Sludge","0"
"Jinjer","Death-Melodic","0"
"Jinjer","Groove","0"
"Jinjer","Metalcore","0"
"Jinjer","Progressive","0"
"Judas Priest","Heavy","0"
"Kamelot","Power","0"
"Kamelot","Symphonic","0"
"Katatonia","Black.","0"
"Katatonia","Death.","0"
"Katatonia","Doom","0"
"Katatonia","Gothic","0"
"Killswitch Engage","Metalcore","0"
"King Diamond","Black.","0"
"King Diamond","Extreme","0"
"King Diamond","Heavy","0"
"KISS","_Glam","0"
"KISS","Hard","0"
"KISS","Heavy","0"
"KoRn","Alternative","0"
"KoRn","Funk","0"
"KoRn","Groove","0"
"KoRn","Nu","0"
"KoRn","Rap","0"
"Korpiklaani","Folk","0"
"Kreator","Black.","0"
"Kreator","Extreme","0"
"Kreator","Thrash.","0"
"Kvelertak","Black.","0"
"Kvelertak","Hard","0"
"Kvelertak","Hardcore","0"
"Kvelertak","Punk","0"
"Lacuna Coil","Gothic","0"
"Lamb of God","Death.","0"
"Lamb of God","Groove","0"
"Lamb of God","Metalcore","0"
"Lamb of God","Thrash.","0"
"Leave's Eyes","Gothic","0"
"Leave's Eyes","Symphonic","0"
"Led Zeppelin","Blues","0"
"Led Zeppelin","Hard","0"
"Led Zeppelin","Heavy","0"
"Life of Agony","Alternative","0"
"Life of Agony","Groove","0"
"Limp Bizkit","Nu","0"
"Limp Bizkit","Rapcore","0"
"Linkin Park","Alternative","0"
"Linkin Park","Nu","0"
"Linkin Park","Rap","0"
"Linkin Park","Rock","0"
"Machine Head","Groove","0"
"Machine Head","Thrash.","0"
"Mägo de Oz","Celtic","0"
"Mägo de Oz","Folk","0"
"Mägo de Oz","Hard","0"
"Mägo de Oz","Heavy","0"
"Månegarm","Black.","0"
"Månegarm","Folk","0"
"Månegarm","Viking","0"
"Manowar","Epic","0"
"Manowar","FW-Power","0"
"Manowar","Hard","0"
"Manowar","Heavy","0"
"Manowar","Power","0"
"Marduk","Black.","0"
"Marduk","Extreme","0"
"Marilyn Manson","Alternative","0"
"Marilyn Manson","Industrial","0"
"Mastodon","Progressive","0"
"Mastodon","Sludge","0"
"Mayhem","Black.","0"
"Mayhem","Extreme","0"
"Mayhem","SW-Black","0"
"Megadeth","Speed","0"
"Megadeth","Thrash.","0"
"Mercyful Fate","Black.","0"
"Mercyful Fate","Extreme","0"
"Mercyful Fate","FW-Black","0"
"Mercyful Fate","Heavy","0"
