"NomBan","NomAlb","NomCan","Estrellas"
"Crimson Glory","Transcendence","Lonely","2"
"Crimson Glory","Transcendence","Masque of the Red Death","0"
"Crimson Glory","Transcendence","Painted Skies","2"
"Crimson Glory","Transcendence","Red Sharks","2"
"Crimson Glory","Transcendence","Where Dragons Rule","0"
"Cruachan","Blood for the Blood God","Blood for the Blood God","2"
"Cruachan","Blood for the Blood God","Born for War (The Rise of Brian Boru)","2"
"Cruachan","Blood for the Blood God","The Arrival of the Fir Bolg","0"
"Cruachan","Blood for the Blood God","The Marching Song of Fiach Mac Hugh","2"
"Cruachan","Blood for the Blood God","The Sea Queen of Connaught","2"
"Cruachan","Blood on the Black Robe","I Am Warrior","2"
"Cruachan","Folk-Lore","Bloody Sunday","0"
"Cruachan","Folk-Lore","Death of a Gael","0"
"Cruachan","Folk-Lore","Ride On","3"
"Cruachan","Pagan","Pagan","2"
"Cruachan","Pagan","Some Say the Devil Is Dead","3"
"Cruachan","The Middle Kingdom","A Celtic Mourning","0"
"Cruachan","The Middle Kingdom","Celtica","1"
"Cruachan","The Middle Kingdom","The Middle Kingdom","0"
"Cruachan","Tuatha na Gael","To Invoke the Horned God","1"
"Cynic","Focus","Celestial Voyage","2"
"Cynic","Focus","How Could I","3"
"Cynic","Focus","Textures","1"
"Cynic","Focus","The Eagle Nature","0"
"Cynic","Focus","Uroboric Forms","0"
"Cynic","Focus","Veil of Maya","3"
"Cynic","Traced in Air","Adam's Murmur","2"
"Cynic","Traced in Air","Evolutionary Sleeper","3"
"Cynic","Traced in Air","Integral Birth","2"
"Cynic","Traced in Air","King of Those Who Know","2"
"Cynic","Traced in Air","Nunc Fluens","0"
"Cynic","Traced in Air","The Space for This","2"
"Danzig","Danzig","Am I Demon","2"
"Danzig","Danzig","Mother","3"
"Danzig","Danzig","She Rides","2"
"Danzig","Danzig","Twist of Cain","3"
"Danzig","Danzig II: Lucifuge","Blood and Tears","0"
"Danzig","Danzig II: Lucifuge","Devil's Plaything","2"
"Danzig","Danzig II: Lucifuge","Her Black Wings","0"
"Danzig","Danzig II: Lucifuge","Long Way Back from Hell","2"
"Danzig","Danzig III: How the Gods Kill","Dirty Black Summer","2"
"Danzig","Danzig III: How the Gods Kill","How the Gods Kill","2"
"Dark Funeral","Angelus Exuro Pro Eternus","In my Dreams","0"
"Dark Funeral","Angelus Exuro Pro Eternus","My Funeral","3"
"Dark Funeral","Attera Totus Sanctus","666 Voices Inside","1"
"Dark Funeral","Attera Totus Sanctus","Atrum Regina","1"
"Dark Funeral","Diabolis Interium","Goddess of Sodomy","1"
"Dark Funeral","Diabolis Interium","Hail Murder","2"
"Dark Funeral","Diabolis Interium","The Arrival of Satan's Empire","2"
"Dark Funeral","In the Sign...","Open the Gates","0"
"Dark Funeral","The Secrets of the Black Arts","My Dark Desires","2"
"Dark Funeral","The Secrets of the Black Arts","Shadows Over Transylvania","0"
"Dark Funeral","The Secrets of the Black Arts","The Secrets of the Black Arts","2"
"Dark Funeral","Vobiscum Satanas","Vobiscum Satanas","0"
"Dark Funeral","Where Shadows Forever Reign","Nail Them to the Cross","1"
"Dark Funeral","Where Shadows Forever Reign","Unchain My Soul","2"
"Dark Tranquility","Atoma","Atoma","2"
"Dark Tranquility","Character","Lost to Apathy","2"
"Dark Tranquility","Damage Done","Final Resistance","1"
"Dark Tranquility","Damage Done","Monochromatic Stains","3"
"Dark Tranquility","Damage Done","The Treason Wall","0"
"Dark Tranquility","Fiction","Icipher","0"
"Dark Tranquility","Fiction","Misery's Crown","3"
"Dark Tranquility","Fiction","Terminus (Where Death Is Most Alive)","2"
"Dark Tranquility","Fiction","The Lesser Faith","0"
"Dark Tranquility","Fiction","The Mundane and the Magic","1"
"Dark Tranquility","Haven","Haven","2"
"Dark Tranquility","Lost to Apathy","Lost to Apathy","2"
"Dark Tranquility","Moment","Phantom Days","2"
"Dark Tranquility","Projector","ThereIn","2"
"Dark Tranquility","Skydancer","A Bolt of Blazing Gold","2"
"Dark Tranquility","The Gallery","Lethe","3"
"Dark Tranquility","The Gallery","Punish My Heaven","0"
"Dark Tranquility","The Mind's I","Insanity's Crescendo","0"
"Darkthrone","A Blaze in the Northern Sky","In the Shadow of the Horns","3"
"Darkthrone","A Blaze in the Northern Sky","Kathaarian Life Code","2"
"Darkthrone","A Blaze in the Northern Sky","The Pagan Winter","0"
"Darkthrone","Old Star","Duke of Gloat","0"
"Darkthrone","Old Star","The Hardship of the Scots","1"
"Darkthrone","Panzerfaust","En Vind Av Sorg","0"
"Darkthrone","Panzerfaust","Quintessence","3"
"Darkthrone","Soulside Journey","Cromlech","0"
"Darkthrone","Transilvanian Hunger","Skald Av Satans Sol","0"
"Darkthrone","Transilvanian Hunger","Transilvanian Hunger","3"
"Darkthrone","Under a Funeral Moon","Under a Funeral Moon","2"
"Deafheaven","New Bermuda","Baby Blue","0"
"Deafheaven","New Bermuda","Brought to the Water","2"
"Deafheaven","New Bermuda","Come Back","0"
"Deafheaven","New Bermuda","From the Kettle onto the Coil","0"
"Deafheaven","New Bermuda","Luna","0"
"Deafheaven","Ordinary Corrupt Human Love","Canary Yellow","1"
"Deafheaven","Ordinary Corrupt Human Love","Honeycomb","3"
"Deafheaven","Ordinary Corrupt Human Love","Near","0"
"Deafheaven","Ordinary Corrupt Human Love","You Without End","1"
"Deafheaven","Roads to Judah","Language Games","0"
"Deafheaven","Roads to Judah","Violet","0"
"Deafheaven","Sunbather","Dream House","3"
"Deafheaven","Sunbather","Irresistible","2"
"Deafheaven","Sunbather","Sunbather","3"
"Deafheaven","Sunbather","The Pecan Tree","1"
"Deafheaven","Sunbather","Vertigo","2"
"Death","Human","Flattening of Emotions","0"
"Death","Human","Lack of Comprehension","3"
"Death","Human","Suicide Machine","0"
"Death","Individual Thought Patterns","The Philosopher","2"
"Death","Leprosy","Pull the Plug","2"
"Death","Scream Bloody Gore","Zombie Ritual","2"
"Death","Spiritual Healing","Spiritual Healing","2"
"Death","Symbolic","Crystal Mountain","3"
"Death","Symbolic","Empty Words","0"
"Death","Symbolic","Symbolic","1"
"Death","The Sound of Perseverance","Flesh and the Power It Holds","1"
"Death","The Sound of Perseverance","Scavenger of Human Sorrow","0"
"Death","The Sound of Perseverance","Spirit Crusher","3"
"Death","The Sound of Perseverance","Voice of the Soul","2"
"Death Angel","Act III","A Room with a View","0"
"Death Angel","Act III","Seemingly Endless Time","2"
"Death Angel","Frolic Through the Park","Bored","0"
"Death Angel","The Art of Dying","The Devil Incarnate","0"
"Death Angel","The Art of Dying","Thrown to the Wolves","2"
"Death Angel","The Evil Divide","The Moth","2"
"Death Angel","The Ultra-Violence","Evil Priest","2"
"Death Angel","The Ultra-Violence","Kill as One","1"
"Death Angel","The Ultra-Violence","Mistress of Pain","1"
"Death Angel","The Ultra-Violence","The Ultra-Violence","3"
"Death Angel","The Ultra-Violence","Thrashers","1"
"Death Angel","The Ultra-Violence","Voracious Souls","3"
"Deep Purple","Burn","Burn","1"
"Deep Purple","Deep Purple in Rock","Black Night","2"
"Deep Purple","Deep Purple in Rock","Child in Time","3"
"Deep Purple","Deep Purple in Rock","Speed King","1"
"Deep Purple","Machine Head","Highway Star","3"
"Deep Purple","Machine Head","Lazy","1"
"Deep Purple","Machine Head","Smoke on the Water","3"
"Deep Purple","Machine Head","Space Truckin'","0"
"Deep Purple","Perfect Strangers","Knockin' at Your Back Door","1"
"Deep Purple","Perfect Strangers","Perfect Strangers","2"
"Deep Purple","Shades of Deep Purple","Hush","2"
"Deep Purple","Stormbringer","Soldier of Fortune","1"
"Def Leppard","High 'N' Dry","Bringin' on the Heartbreak","3"
"Def Leppard","Hysteria","Animal","2"
"Def Leppard","Hysteria","Armageddon It","2"
"Def Leppard","Hysteria","Hysteria","3"
"Def Leppard","Hysteria","Love Bites","3"
"Def Leppard","Hysteria","Pour Some Sugar on Me","3"
"Def Leppard","Hysteria","Rocket","1"
"Def Leppard","Hysteria","Women","0"
"Def Leppard","On Through the Night","Wasted","2"
"Def Leppard","Pyromania","Foolin'","1"
"Def Leppard","Pyromania","Photograph","3"
"Def Leppard","Pyromania","Rock of Ages","3"
"Def Leppard","Pyromania","Too Late for Love","0"
"Deftones","Adrenaline","7 Words","2"
"Deftones","Around the Fur","Around the Fur","0"
"Deftones","Around the Fur","Be Quiet and Drive (Far Away)","3"
"Deftones","Around the Fur","My Own Summer (Shove It)","3"
"Deftones","Back to School - Mini Maggit","Back to the School","0"
"Deftones","Deftones","Minerva","2"
"Deftones","Diamond Eyes","Sextape","2"
"Deftones","Diamond Eyes","You've Seen the Butcher","0"
"Deftones","White Pony","Change (In the House of Flies)","3"
"Deftones","White Pony","Digital Bath","2"
"Deftones","White Pony","Feiticeira","0"
"Deftones","White Pony","Passenger","2"
"Deicide","Deicide","Dead by Dawn","3"
"Deicide","Deicide","Lunatic of God's Creation","2"
"Deicide","Deicide","Sacrificial Suicide","3"
"Deicide","In the Minds of Evil","In the Minds of Evil","0"
"Deicide","Legion","Dead but Dreaming","2"
"Deicide","Once Upon the Cross","Once Upon the Cross","2"
"Deicide","Once Upon the Cross","When Satan Rules His World","2"
"Deicide","Scars of the Crucifix","Fuck Your God","0"
"Deicide","Scars of the Crucifix","Scars of the Crucifix","3"
"Deicide","Serpents of the Light","Serpents of the Light","0"
"Deicide","The Stench of Redemption","Homage for Satan","3"
"Delain","April Rain","April Rain","3"
"Delain","April Rain","Go Away","1"
"Delain","April Rain","Nothing Left","1"
"Delain","April Rain","Stay Forever","0"
"Delain","Hunter's Moon EP","Masters of Destiny","0"
"Delain","Lucidity","Frozen","2"
"Delain","Lucidity","See Me in Shadow","0"
"Delain","Lucidity","Sleepwalkers Dream","0"
"Delain","Lucidity","The Gathering","2"
"Delain","Moonbathers","Danse Macabre","0"
"Delain","Moonbathers","Fire with Fire","1"
"Delain","Moonbathers","Suckerpunch","1"
"Delain","The Human Contradiction","Here Come the Vultures","2"
"Delain","The Human Contradiction","Sing to Me","0"
"Delain","The Human Contradiction","Stardust","2"
"Delain","We Are the Others","Get the Devil Out of Me","2"
"Delain","We Are the Others","Not Enough","0"
"Delain","We Are the Others","We Are the Others","3"
"Demons & Wizards","Demons & Wizards","Blood on My Hands","2"
"Demons & Wizards","Demons & Wizards","Fiddler on the Green","3"
"Demons & Wizards","Demons & Wizards","Gallows Pole","1"
"Demons & Wizards","Demons & Wizards","Heaven Denies","3"
"Demons & Wizards","Demons & Wizards","My Last Sunrise","2"
"Demons & Wizards","Demons & Wizards","Path of Glory","1"
"Demons & Wizards","Demons & Wizards","Poor Man's Crusade","1"
"Demons & Wizards","Demons & Wizards","Tear Down the Wall","0"
"Demons & Wizards","Touched by the Crimson King","Crimson King","2"
"Demons & Wizards","Touched by the Crimson King","Down Where I Am","0"
"Destruction","Eternal Devastation","Confused Mind","0"
"Destruction","Eternal Devastation","Curse the Gods","3"
"Destruction","Eternal Devastation","Eternal Ban","0"
"Destruction","Infernal Overkill","Bestial Invasion","3"
"Destruction","Infernal Overkill","Invincible Force","2"
"Destruction","Infernal Overkill","Tormentor","0"
"Destruction","Release from Agony","Release from Agony","0"
"Destruction","Sentence of Death","Mad Butcher","3"
"Destruction","Sentence of Death","Total Desaster","0"
"Destruction","The Antichrist","Nailed to the Cross","2"
"Destruction","The Antichrist","Thrash till Death","3"
"DevilDriver","Beast","Dead to Rights","2"
"DevilDriver","DevilDriver","I Could Care Less","2"
"DevilDriver","DevilDriver","I Dreamed I Died","0"
"DevilDriver","DevilDriver","Swinging the Dead","0"
"DevilDriver","Pray for Villains","Pray for Villains","2"
"DevilDriver","The Fury of Our Maker's Hand","End of the Line","3"
"DevilDriver","The Fury of Our Maker's Hand","Grinfucked","1"
"DevilDriver","The Fury of Our Maker's Hand","Hold Back the Day","2"
"DevilDriver","The Last Kind Words","Clouds Over California","3"
"DevilDriver","The Last Kind Words","Head on to Heartache (Let Them Rot)","0"
"DevilDriver","The Last Kind Words","Horn of Betrayal","0"
"DevilDriver","The Last Kind Words","Not All Who Wander Are Lost","1"
"DevilDriver","The Last Kind Words","These Fighting Words","0"
"DevilDriver","Trust No One","Daybreak","0"
"DevilDriver","Winter Kills","Sail","0"
"DevilDriver","Winter Kills","The Appetite","0"
"Diamond Head","Borrowed Time","Borrowed Time","0"
"Diamond Head","Borrowed Time","Call Me","0"
"Diamond Head","Borrowed Time","In the Heat of the Night","2"
"Diamond Head","Lightning to the Nations","Am I Evil?","3"
"Diamond Head","Lightning to the Nations","Helpless","3"
"Diamond Head","Lightning to the Nations","It's Electric","2"
"Diamond Head","Lightning to the Nations","Lightning to the Nations","2"
"Diamond Head","Lightning to the Nations","Shoot Out the Lights","1"
"Diamond Head","Lightning to the Nations","Sucking My Love","2"
"Diamond Head","Lightning to the Nations","Sweet and Innocent","0"
"Diamond Head","Lightning to the Nations","The Prince","3"
"Dimmu Borgir","Abrahadabra","Dimmu Borgir","0"
"Dimmu Borgir","Abrahadabra","Gateways","2"
"Dimmu Borgir","Death Cult Armageddon","Progenies of the Great Apocalypse","3"
"Dimmu Borgir","Death Cult Armageddon","Vredesbyrd","2"
"Dimmu Borgir","Enthrone Darkness Triumphant","In Death`s Embrace","0"
"Dimmu Borgir","Enthrone Darkness Triumphant","Mourning Palace","3"
"Dimmu Borgir","Enthrone Darkness Triumphant","Spellbound (By the Devil)","0"
"Dimmu Borgir","Eonian","Interdimensional Summit","0"
"Dimmu Borgir","In Sorte Diaboli","The Sacrilegious Scorn","2"
"Dimmu Borgir","In Sorte Diaboli","The Serpentine Offering","2"
"Dimmu Borgir","Puritanical Euphoric Misanthropia","Burn in Hell","0"
"Dimmu Borgir","Puritanical Euphoric Misanthropia","Kings of the Carnival Creation","2"
"Dimmu Borgir","Puritanical Euphoric Misanthropia","Puritania","2"
"Dimmu Borgir","Stormblåst","Sorgens Kammer - Del II","0"
"Dio","Dream Evil","All the Fools Sailed Away","1"
"Dio","Holy Diver","Don't Talk to Strangers","2"
"Dio","Holy Diver","Holy Diver","3"
"Dio","Holy Diver","Rainbow in the Dark","3"
"Dio","Holy Diver","Stand Up and Shout","2"
"Dio","Holy Diver","Straight Through the Heart","1"
"Dio","Sacred Heart","Rock 'n' Roll Children","0"
"Dio","The Last in Line","Egypt","2"
"Dio","The Last in Line","The Last in Line","2"
"Dio","The Last in Line","We Rock","2"
"Dissection","Maha Kali","Maha Kali","3"
"Dissection","Reinkaos","Black Dragon","1"
"Dissection","Reinkaos","Dark Mother Divine","0"
"Dissection","Reinkaos","God of Forbidden Light","0"
"Dissection","Reinkaos","Starless Aeon","1"
"Dissection","Storm of the Light's Bane","At the Fathomless Depths","0"
"Dissection","Storm of the Light's Bane","Night's Blood","3"
"Dissection","Storm of the Light's Bane","Retribution - Storm of the Light's Bane","0"
"Dissection","Storm of the Light's Bane","Soulreaper","0"
"Dissection","Storm of the Light's Bane","Thorns of Crimson Death","2"
"Dissection","Storm of the Light's Bane","Unhallowed","2"
"Dissection","Storm of the Light's Bane","Where Dead Angels Lie","3"
"Dissection","The Somberlain","Black Horizons","2"
"Dissection","The Somberlain","The Somberlain","1"
"Disturbed","Asylum","Warrior","2"
"Disturbed","Believe","Liberate","0"
"Disturbed","Believe","Prayer","2"
"Disturbed","Immortalized","The Sound of Silence","2"
"Disturbed","Immortalized","The Vengeful One","0"
"Disturbed","Indestructible","Indestructible","2"
"Disturbed","Indestructible","Inside the Fire","2"
"Disturbed","Ten Thousand Fists","Land of Confusion","2"
"Disturbed","Ten Thousand Fists","Stricken","3"
"Disturbed","Ten Thousand Fists","Ten Thousand Fists","1"
"Disturbed","The Sickness","Down with the Sickness","3"
"Disturbed","The Sickness","Stupify","2"
"Disturbed","The Sickness","The Game","0"
"Disturbed","The Sickness","Voices","0"
"Dokken","Back for the Attack","Dream Warriors","3"
"Dokken","Back for the Attack","Kiss of Death","1"
"Dokken","Back for the Attack","Mr. Scary","1"
"Dokken","Breaking the Chains","Breaking the Chains","3"
"Dokken","Tooth and Nail","Alone Again","3"
"Dokken","Tooth and Nail","Into the Fire","3"
"Dokken","Tooth and Nail","Just Got Lucky","0"
"Dokken","Tooth and Nail","Tooth and Nail","0"
"Dokken","Under Lock and Key","In my Dreams","3"
"Dokken","Under Lock and Key","It's Not Love","2"
"Dokken","Under Lock and Key","The Hunter","1"
"Dokken","Under Lock and Key","Unchain the Night","2"
"Dope","Blood Money Part 1","Blood Money","0"
"Dope","Felons and Revolutionaries","Debonaire","2"
"Dope","Felons and Revolutionaries","Everything Sucks","1"
"Dope","Felons and Revolutionaries","You Spin Me Round (Like a Record)","3"
"Dope","Group Therapy","Bitch","2"
"Dope","Life","Die Motherfucker Die","3"
"Dope","Life","Now or Never","1"
"Dope","Life","Slipping Away","0"
"Dope","No Regrets","My Funeral","3"
"Dope","No Regrets","Rebel Yell","2"
"Dope","No Regrets","Violence","0"
"Doro","Angels Never Die","Bad Blood","1"
"Doro","Calling the Wild","Burn It Up","2"
"Doro","Doro","I'll Be Holding On","1"
"Doro","Doro","Unholy Love","3"
"Doro","Fear No Evil","Herzblut","0"
"Doro","Fear No Evil","The Night of the Warlock","0"
"Doro","Fear No Evil","Walking with the Angels","2"
"Doro","Fight","Always Live to Win","1"
"Doro","Force Majeure","A Whiter Shade of Pale","3"
"Doro","Force Majeure","Angels with Dirty Faces","1"
"Doro","Force Majeure","Beyond the Trees","0"
"Doro","Force Majeure","Hard Times","0"
"Doro","Force Majeure","Save My Soul","0"
"Doro","Force Majeure","World Gone Wild","1"
"Doro","Love Me in Black","Love Me in Black","1"
"Doro","Raise Your Fist","Engel","0"
"Doro","Raise Your Fist","It Still Hurts","0"
"Doro","Raise Your Fist","Raise Your Fist in the Air","2"
"Doro","Warrior Soul","Above the Ashes","0"
"Doro","Warrior Soul","You're My Family","2"
"DOWN","Down II: A Bustle in Your Hedgerow","Ghosts Along the Mississippi","2"
"DOWN","Down III: Over the Under","N.O.D.","0"
"DOWN","Down III: Over the Under","On March the Saints","0"
"DOWN","NOLA","Bury Me in Smoke","3"
"DOWN","NOLA","Eyes of the South","1"
"DOWN","NOLA","Hail the Leaf","2"
"DOWN","NOLA","Jail","1"
"DOWN","NOLA","Lifer","3"
"DOWN","NOLA","Pillars of Eternity","2"
"DOWN","NOLA","Rehab","0"
"DOWN","NOLA","Stone the Crow","3"
"DOWN","NOLA","Temptation's Wings","2"
"Draconian","A Rose for the Apocalypse","The Last Hour of Ancient Sunlight","1"
"Draconian","Arcane Rain Fell","A Scenery of Loss","0"
"Draconian","Arcane Rain Fell","Daylight Misery","0"
"Draconian","Arcane Rain Fell","Death, Come Near Me","2"
"Draconian","Arcane Rain Fell","Heaven Laid in Tears (Angels' Lament)","2"
"Draconian","Sovran","Heavy Lies the Crown","2"
"Draconian","Sovran","Pale Tortured Blue","0"
"Draconian","Sovran","Rivers Between Us","2"
"Draconian","Sovran","Stellar Tombs","2"
"Draconian","The Burning Halo","The Gothic Embrace","1"
"Draconian","The Burning Halo","The Morningstar","0"
"Draconian","Turning Season Within","Bloodflower","1"
"Draconian","Turning Season Within","Morphine Cloud","1"
"Draconian","Turning Season Within","Seasons Apart","1"
"Draconian","Turning Season Within","When I Wake","0"
"Draconian","Where Lovers Mourn","The Amaranth","0"
"Draconian","Where Lovers Mourn","The Cry of Silence","3"
"Draconian","Where Lovers Mourn","The Solitude","0"
"DragonForce","Inhuman Rampage","Cry for Eternity","0"
"DragonForce","Inhuman Rampage","Operation Ground and Pound","2"
"DragonForce","Inhuman Rampage","Revolution Deathsquad","2"
"DragonForce","Inhuman Rampage","Through the Fire and Flames","3"
"DragonForce","Sonic Firestorm","Fury of the Storm","3"
"DragonForce","Sonic Firestorm","My Spirit Will Go On","2"
"DragonForce","Sonic Firestorm","Soldiers of the Wasteland","2"
"DragonForce","The Power Within","Cry Thunder","2"
"DragonForce","Ultra Beatdown","Heroes of Our Time","2"
"DragonForce","Ultra Beatdown","The Last Journey Home","0"
"DragonForce","Valley of the Damned","Valley of the Damned","2"
"Dream Theater","A Dramatic Turn of Events","Breaking All Illusions","0"
"Dream Theater","Awake","The Mirror","2"
"Dream Theater","Black Clouds & Silver Linings","The Best of Time","0"
"Dream Theater","Black Clouds & Silver Linings","The Count of Tuscany","0"
"Dream Theater","Images and Words","Another Day","3"
"Dream Theater","Images and Words","Learning to Live","0"
"Dream Theater","Images and Words","Metropolis Pt. 1: The Miracle and the Sleeper","2"
"Dream Theater","Images and Words","Pull Me Under","3"
"Dream Theater","Images and Words","Surrounded","0"
"Dream Theater","Images and Words","Take the Time","0"
"Dream Theater","Images and Words","Under a Glass Moon","0"
"Dream Theater","Metropolis Pt. 2: Scenes from a Memory","Act II: Scene Eight: The Spirit Carries On","3"
"Dream Theater","Octavarium","Panic Attack","2"
"Dream Theater","Six Degrees of Inner Turbulence","The Glass Prison","0"
"Dream Theater","Systematic Chaos","Forsaken","0"
"Dream Theater","Train of Thought","As I Am","0"
"Drowning Pool","Desensitized","Love and War","1"
"Drowning Pool","Desensitized","Step Up","2"
"Drowning Pool","Drowning Pool","Feel Like I Do","1"
"Drowning Pool","Drowning Pool","Turn So Cold","1"
"Drowning Pool","Full Circle","37 Stitches","1"
"Drowning Pool","Full Circle","Enemy","0"
"Drowning Pool","Sinner","All Over Me","1"
"Drowning Pool","Sinner","Bodies","3"
"Drowning Pool","Sinner","Pity","0"
"Drowning Pool","Sinner","Reminded","1"
"Drowning Pool","Sinner","Sinner","3"
"Drowning Pool","Sinner","Tear Away","3"
"Edge of Sanity","Crimson I","Crimson, Pt.1","3"
"Edge of Sanity","Crimson II","Passage of Time","2"
"Edge of Sanity","Infernal","Hell is Where the Heart is","1"
"Edge of Sanity","Purgatory Afterglow","Black Tears","3"
"Edge of Sanity","Purgatory Afterglow","Blood-Colored","2"
"Edge of Sanity","Purgatory Afterglow","Elegy","0"
"Edge of Sanity","Purgatory Afterglow","Enter Chaos","0"
"Edge of Sanity","Purgatory Afterglow","Of Darksome Origin","0"
"Edge of Sanity","Purgatory Afterglow","Songs of Sirens","0"
"Edge of Sanity","Purgatory Afterglow","Twilight","3"
"Edge of Sanity","Purgatory Afterglow","Velvet Dreams","2"
"Edge of Sanity","The Spectral Sorrows","Darkday","0"
"Edge of Sanity","The Spectral Sorrows","Sacrificed","0"
"Edge of Sanity","The Spectral Sorrows","The Masque","1"
"Edge of Sanity","Unorthodox","Enigma","0"
"Edguy","Hellfire Club","Down to the Devil","1"
"Edguy","Hellfire Club","King of Fools","3"
"Edguy","Hellfire Club","Lavatory Love Machine","2"
"Edguy","Hellfire Club","Mysteria","2"
"Edguy","Hellfire Club","The Piper Never Dies","0"
"Edguy","Mandrake","All the Clowns","2"
"Edguy","Mandrake","Tears of a Mandrake","3"
"Edguy","Rocket Ride","Save Me","2"
"Edguy","Rocket Ride","Superheroes","1"
"Edguy","Theater of Salvation","Land of the Miracle","0"
"Edguy","Vain Glory Opera","Scarlet Rose","0"
"Edguy","Vain Glory Opera","Vain Glory Opera","3"
"Electric Wizard","Black Masses","Black Mass","1"
"Electric Wizard","Come My Fanatics…","Return Trip","3"
"Electric Wizard","Come My Fanatics…","Wizard in Black","1"
"Electric Wizard","Dopethrone","Dopethrone","2"
"Electric Wizard","Dopethrone","Funeralopolis","3"
"Electric Wizard","Dopethrone","I, the Witchfinder","2"
"Electric Wizard","Dopethrone","Vinum Sabbathi","1"
"Electric Wizard","Dopethrone","We Hate You","2"
"Electric Wizard","Let Us Pray","A Chosen Few","0"
"Electric Wizard","Witchcult Today","Satanic Rites of Drugula","2"
"Electric Wizard","Witchcult Today","The Chosen Few","0"
"Electric Wizard","Wizard Bloody Wizard","See You in Hell","1"
"Eluveitie","Ategnatos","Ategnatos","0"
"Eluveitie","Everything Remains - As It Never Was","Quoth the Raven","0"
"Eluveitie","Everything Remains - As It Never Was","Thousandfold","2"
"Eluveitie","Evocation I: The Arcane Dominion","Omnos","2"
"Eluveitie","Evocation II: Pantheon","Epona","2"
"Eluveitie","Evocation II: Pantheon","LVGVS","0"
"Eluveitie","Helvetios","A Rose for Epona","2"
"Eluveitie","Helvetios","Helvetios","0"
"Eluveitie","Helvetios","Luxtos","2"
"Eluveitie","Origins","King","2"
"Eluveitie","Origins","The Call of the Mountains","3"
"Eluveitie","Slania","Calling the Rain","0"
"Eluveitie","Slania","Gray Sublime Archon","0"
"Eluveitie","Slania","Inis Mona","3"
"Eluveitie","Slania","Slania's Song","2"
"Eluveitie","Spirit","Tegernakô","1"
"Eluveitie","Spirit","Uis Elveti","2"
"Eluveitie","Spirit","Your Gaulish War","0"
"Elvenking","Era","The Loser","0"
"Elvenking","Heathenreel","Pagan Purity","0"
"Elvenking","Heathenreel","Seasonspeech","2"
"Elvenking","Heathenreel","White Willow","1"
"Elvenking","Red Silent Tides","The Cabal","1"
"Elvenking","Red Silent Tides","Your Heroes Are Death","0"
"Elvenking","The Pagan Manifesto","Elvenlegions","3"
"Elvenking","The Pagan Manifesto","Pagan Revolution","0"
"Elvenking","The Scythe","The Divided Heart","3"
"Elvenking","The Scythe","The Scythe","2"
"Elvenking","The Winter Wake","Neverending Nights","1"
"Elvenking","The Winter Wake","On the Morning Dew","2"
"Elvenking","The Winter Wake","Swallowtail","2"
"Elvenking","The Winter Wake","The Wanderer","3"
"Elvenking","The Winter Wake","The Winter Wake","0"
"Elvenking","The Winter Wake","Trows Kind","1"
"Elvenking","Two Tragedy Poets ...And a Caravan of Weird Figures","Heaven Is a Place on Earth","0"
"Emperor","Anthems to the Welkin at Dusk","The Loss and Curse of Reverence","2"
"Emperor","Anthems to the Welkin at Dusk","Thus Spake the Nightspirit","2"
"Emperor","Anthems to the Welkin at Dusk","With Strenght I Burn","2"
"Emperor","Anthems to the Welkin at Dusk","Ye Entrancemperium","2"
"Emperor","In the Nightside Eclipse","Beyond the Great Vast Forest","0"
"Emperor","In the Nightside Eclipse","Cosmic Keys to My Creations and Times","1"
"Emperor","In the Nightside Eclipse","I Am the Black Wizards","3"
"Emperor","In the Nightside Eclipse","Inno A Satana","3"
"Emperor","In the Nightside Eclipse","Into the Infinity of Thoughts","3"
"Emperor","In the Nightside Eclipse","The Burning Shadows of Silence","0"
"Emperor","In the Nightside Eclipse","The Majesty of the Nightsky","0"
"Emperor","In the Nightside Eclipse","Towards tha Pantheon","1"
"Emperor","IX Equilibrium","Curse You All Men!","0"
"Ensiferum","Ensiferum","Battle Song","1"
"Ensiferum","Ensiferum","Token of Time","3"
"Ensiferum","From Afar","From Afar","2"
"Ensiferum","From Afar","Twilight Tavern","1"
"Ensiferum","Iron","Into Battle","1"
"Ensiferum","Iron","Iron","2"
"Ensiferum","Iron","LAI LAI HEI","3"
"Ensiferum","One Man Army","One Man Army","0"
"Ensiferum","Unsung Heroes","In My Sword I Trust","2"
"Ensiferum","Victory Songs","One More Magic Potion","2"
"Ensiferum","Victory Songs","Victory Song","3"
"Ensiferum","Victory Songs","Wanderer","1"
"Enslaved","Axioma Ethica Odini","Ethica Odini","1"
"Enslaved","Below the Lights","As Fire Swept Clean the Earth","2"
"Enslaved","Below the Lights","Havenless","3"
"Enslaved","E","Storm Son","0"
"Enslaved","Eld","793 (Slaget Om Lindisfarne)","2"
"Enslaved","Frost","Frost","2"
"Enslaved","Isa","Isa","1"
"Enslaved","RIITIIR","Death in the Eyes of Dawn","0"
"Enslaved","RIITIIR","RIITIIR","0"
"Enslaved","RIITIIR","Roots of the Mountain","1"
"Enslaved","RIITIIR","Thoughts Like Hammers","1"
"Enslaved","RIITIIR","Veilburner","0"
"Enslaved","Vertebrae","The Watcher","3"
"Enslaved","Vikingligr Veldi","Lifandi Lif Undir Hamri","2"
"Entombed","Clandestine","Living Dead","0"
"Entombed","Clandestine","Sinners Bleed","0"
