TISTA";"PAIS"
"The White Stripes";"Estados Unidos"
"The Who";"Reino Unido"
"The Yardbirds";"Estados Unidos"
"Thin Lizzy";"Reino Unido"
"Three Days Grace";"Canadá"
"TLC";"Estados Unidos"
"Tom Petty";"Estados Unidos"
"Tom Petty and the Heartbreakers";"Estados Unidos"
"Tom Waits";"Estados Unidos"
"TOOL";"Estados Unidos"
"Tricky";"Reino Unido"
"U2";"Reino Unido"
"Underworld";"Reino Unido"
"Usher";"Estados Unidos"
"Vampire Weekend";"Estados Unidos"
"Van Halen";"Estados Unidos"
"Van Morrison";"Reino Unido"
"Weezer";"Estados Unidos"
"Whitney Houston";"Estados Unidos"
"Wilco";"Estados Unidos"
"Wire";"Reino Unido"
"Wu Tang Clan";"Estados Unidos"
"Yes";"Reino Unido"
"ZZ Top";"Estados Unidos"
