ID;ALIMENTO;C3;C4;C5;C6;C7;C8;C9;C10
01125;EGG,YOLK,RAW,FRSH;322;52,31;15,86;26,54;3,59;0,560000002;0;1,71
01126;EGG,YOLK,RAW,FROZEN;303;56,2;15,5;25,6;1,15;0,50999999;0;1,55
01127;EGG,YOLK,RAW,FRZ,SUGARED;307;51,25;13,8;22,75;10,8;;0;1,4
01128;EGG,WHL,CKD,FRIED;201;69,13;13,63;15,31;0,88;0,829999983;0;1,05
01129;EGG,WHL,CKD,HARD-BOILED;155;74,62;12,58;10,61;1,12;1,120000005;0;1,08
01130;EGG,WHOLE,COOKED,OMELET;153;75,83;10,62;12,02;0,69;0,649999976;0;0,84
01131;EGG,WHL,CKD,POACHED;147;75,54;12,53;9,9;0,76;0,769999981;0;1,26
01132;EGG,WHL,CKD,SCRMBLD;166;73,15;11,09;12,21;2,2;1,730000019;0;1,36
01133;EGG,WHOLE,DRIED;594;3,1;47,35;40,95;4,95;3,079999924;0;3,65
01134;EGG,WHL,DRIED,STABILIZED,GLUCOSE RED;615;1,87;48,17;43,95;2,38;;0;3,63
01135;EGG,WHITE,DRIED,FLAKES,GLUCOSE RED;351;14,62;76,92;0,04;4,17;4,170000076;0;4,25
01136;EGG,WHITE,DRIED,PDR,GLUCOSE RED;376;8,54;82,4;0,04;4,47;4,46999979;0;4,55
01137;EGG,YOLK,DRIED;666;2,95;34,25;55,8;3,6;3,599999905;0;3,4
01138;EGG,DUCK,WHOLE,FRESH,RAW;185;70,83;12,81;13,77;1,45;0,930000007;0;1,14
01139;EGG,GOOSE,WHOLE,FRESH,RAW;185;70,43;13,87;13,27;1,35;0,939999998;0;1,08
01140;EGG,QUAIL,WHOLE,FRESH,RAW;158;74,35;13,05;11,09;0,41;0,409999996;0;1,1
01141;EGG,TURKEY,WHL,FRSH,RAW;171;72,5;13,68;11,88;1,15;;0;0,79
01142;EGG SUBSTITUTE,FROZEN;160;73,1;11,29;11,11;3,2;3,200000048;0;1,3
01143;EGG SUBSTITUTE,LIQUID;84;82,75;12;3,31;0,64;0,639999986;0;1,3
01144;EGG SUBSTITUTE,POWDER;444;3,86;55,5;13;21,8;21,79999924;0;5,84
01145;BUTTER,WITHOUT SALT;717;17,94;0,85;81,11;0,06;0,059999999;0;0,04
01146;CHEESE,PARMESAN,SHREDDED;415;25;37,86;27,34;3,41;;0;6,39
01147;CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4;375;39,16;22,15;31,25;1,6;0,50999999;0;5,84
01148;CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4;334;42,31;24,73;25,01;2,1;;0;5,85
01149;CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4;328;43,15;19,61;24,6;7,29;7,429999828;0;5,35
01150;CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4;290;47,65;16,41;21,23;8,73;;0;5,98
01151;MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM);35;90,8;3,41;0,18;4,85;5,090000153;0;0,76
01152;MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A;56;87,71;3,95;1,98;5,49;;0;0,87
01153;MILK,CND,EVAP,W/ VIT A;134;74,04;6,81;7,56;10,04;;0;1,55
01154;MILK,DRY,NONFAT,REG,W/ VIT A;362;3,16;36,16;0,77;51,98;51,97999954;0;7,93
01155;MILK,DRY,NONFAT,INST,WO/ VIT A;358;3,96;35,1;0,72;52,19;52,18999863;0;8,03
01156;CHEESE,GOAT,HARD TYPE;452;29,01;30,52;35,59;2,17;2,170000076;0;3,72
01157;CHEESE,GOAT,SEMISOFT TYPE;364;45,52;21,58;29,84;2,54;2,539999962;0;2,94
01159;CHEESE,GOAT,SOFT TYPE;268;60,75;18,52;21,08;0,89;0,889999986;0;1,58
01160;EGG,YOLK,RAW,FRZ,SALTED;274;50,8;14;23;1,6;;0;10,6
01161;CHEESE SUB,MOZZARELLA;248;47,36;11,47;12,22;23,67;23,67000008;0;5,27
